City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,le port,-20.94,55.29,75.2,69,75,14.99,RE,1587774516
244,bagdarin,54.43,113.6,40.41,42,0,2.57,RU,1587774540
245,petrozavodsk,61.78,34.35,26.6,63,27,4.47,RU,1587774540
246,saskylakh,71.92,114.08,30.29,96,49,17.22,RU,1587774540
247,mareeba,-17.0,145.43,84.2,51,8,19.46,AU,1587774541
248,nerchinskiy zavod,51.31,119.61,41.38,48,17,9.13,RU,1587774541
249,odesskoye,54.21,72.97,39.13,66,44,8.99,RU,1587774541
250,tiksi,71.69,128.87,22.71,95,13,5.84,RU,1587774541
251,waipawa,-41.41,175.52,62.6,59,82,26.4,NZ,1587774542
252,rudbar,30.15,62.6,79.0,29,0,7.78,AF,1587774542
253,grand gaube,-20.01,57.66,75.99,92,100,1.01,MU,1587774542
254,sao joao da barra,-21.64,-41.05,71.74,73,0,6.11,BR,1587774542
255,cockburn town,21.46,-71.14,79.7,80,0,20.0,TC,1587774543
256,outlook,51.5,-107.05,54.63,38,82,4.99,CA,1587774543
257,sioux lookout,50.1,-91.92,50.0,43,75,8.05,CA,1587774543
258,palma di montechiaro,37.19,13.77,48.99,95,0,1.01,IT,1587774543
259,nago,26.59,127.98,66.2,63,40,8.05,JP,1587774544
260,balkhash,46.84,74.98,59.22,67,93,11.05,KZ,1587774544
261,toamasina,-18.17,49.38,73.4,94,75,4.7,MG,1587774544
262,pozhva,59.09,56.08,24.6,93,63,7.45,RU,1587774545
263,yerbogachen,61.28,108.01,37.33,74,100,7.76,RU,1587774545
264,carauari,-4.88,-66.9,76.05,93,99,1.45,BR,1587774545
265,tuktoyaktuk,69.45,-133.04,-0.4,77,90,9.17,CA,1587774545
266,greenville,35.61,-77.37,72.0,73,40,4.7,US,1587774431
267,odlabari,26.83,88.62,67.17,69,48,4.88,IN,1587774545
268,horsham,51.06,-0.33,48.99,87,27,5.82,GB,1587774546
269,hargeysa,9.56,44.06,70.75,54,100,4.5,SO,1587774474
270,derzhavinsk,51.1,66.32,39.54,61,29,12.71,KZ,1587774546
271,mount isa,-20.73,139.5,86.0,33,0,13.87,AU,1587774546
272,kukes,42.08,20.42,49.26,53,0,4.5,AL,1587774547
273,chateaubelair,13.28,-61.25,78.01,72,0,4.0,VC,1587774547
274,san juan,-31.54,-68.54,69.76,34,0,10.69,AR,1587774547
275,lavrentiya,65.58,-171.0,28.81,94,13,7.07,RU,1587774547
276,san miguel,13.48,-88.18,91.4,55,31,6.93,SV,1587774548
277,irbit,57.67,63.07,29.05,88,25,8.81,RU,1587774548
278,severo-kurilsk,50.68,156.12,32.85,93,75,13.49,RU,1587774548
279,vuktyl,63.86,57.31,17.04,95,93,7.81,RU,1587774548
280,ishigaki,24.34,124.16,71.6,73,75,10.29,JP,1587774548
281,eyl,7.98,49.82,83.53,74,100,7.87,SO,1587774549
